"question","answer"
"Chỉ định của dòng sản phẩm Illustrious?","Dành cho làn da nám, không đồng đều sắc tố do nhiều nguyên nhân (ánh nắng mặt trời, thay đổi nội tiết tố, thai kỳ, tăng sắc tố sau điều trị da liễu - thẩm mỹ, thâm sau mụn, viêm). 
Da thâm nám, tàn nhang, đồi mồi. Hiệu quả trên cả vùng da mặt, da tay và các vị trí tăng sắc tố khác trên cơ thể."
"Hiệu quả làm sáng của dòng sản phẩm Illustrious tại salon?","Sau lần đầu tiên thực hiện trị liệu Illustrious khách hàng sẽ nhìn thấy hiệu quả: 
Da sáng và đồng đều màu hơn, cải thiện bề mặt giúp da mịn màng, cung cấp thêm độ ẩm cho làn da sau mỗi lần trị liệu trở nên căng bóng, mềm mại.
Kết hợp cùng bộ Illustrious tại nhà để mang lại hiệu quả rõ rệt hơn trong điều trị nám và làm sáng da."
"Liệu trình điều trị nám, làm sáng da là bao nhiêu buổi?","Với liệu trình điều trị sắc tố da sẽ tùy thuộc vào tình trạng da cụ thể để có phác đồ khác nhau.
Ngoài ra, để tối ưu về hiệu quả và thời gian điều trị nên kết hợp cùng với các phương pháp trong điều trị sắc tố như laser, meso, peel, ..."
"Với tình trạng da xỉn màu nhưng bên cạnh đó da rất khô, nhạy cảm có thể sử dụng được dòng sản phẩm Illustrious không?","Với những làn da mỏng yếu nhạy cảm luôn cần ưu tiên làm dịu và phục hồi trước. Chính vì vậy trong trường hợp này nên phục hồi da khỏe mạnh (có thể sử dụng dòng sản phẩm Unstress của Christina - trị liệu chăm sóc da mỏng yếu nhạy cảm và phục hồi da).
Sau khi tình trạng da ổn định thì hoàn toàn có thể sử dụng dòng sản phẩm làm trắng da Illustrious như bình thường."
"Kỹ thuật massage bộ Illustrious có gì khác so với các dòng sản phẩm khác không?","Các sản phẩm massage của Christina không chỉ là 1 bước thư giãn trong quá trình chăm sóc da mà còn chứa những hoạt chất thành phần cần thiết trong quá trình trị liệu và cải thiện làn da. Chính vì vậy các bước massage của sản phẩm Christina sẽ có 1 số lưu ý khác nhau tùy từng dòng để mang lại hiệu quả tốt nhất.
Với dòng Illustrious trong quá trình massage nên lưu ý những vùng da xỉn, tối màu hơn sẽ tập trung massage nhiều hơn để có thể đưa nhiều hoạt chất trị liệu vào trong da hơn, mang lại làn da không chỉ sáng mà đồng đều hơn sau mỗi lần chăm sóc."
"Thành phần nổi bật của dòng sản phẩm Muse là gì?","Dòng sản phẩm Muse chứa các thành phần nổi bật: 
- Telosense Active: ứng dụng thành tựu giành giải thưởng Nobel y học 2009 mới nhất giúp chống co ngắn Telomere, từ đó sửa chữa tế bào, kéo dài tuổi thọ tế bào và chống lão hoá.
- Tế bào gốc hoa hồng Alps: hoa hồng (Rhododendron ferrugineum) chỉ được tìm thấy ở độ cao 3000m trên những dãy núi Alps Thụy Sĩ, có tuổi thọ lên tới 100 năm. Loài thực vật này có thể thích nghi với môi trường khí hậu khắc nghiệt nhất như nhiệt độ, tia UV, độ ẩm,...Có được điều này chính là nhờ đặc tính TẾ BÀO GỐC mạnh mẽ bên trong bảo vệ mô thực vật chống lại sự tấn công của các gốc tự do. Từ đó khi được ứng dụng vào điều trị da sẽ mang lại hiệu quả. Tăng cường sức sống tế bào gốc của da. Kích thích tái tạo biểu bì, làm dày và củng cố hàng rào bảo vệ da. Chứa 7 chất chống oxy hóa khác nhau (Taxifolin - Rhodoxanthin - Essential Oils - Chlorogenic Acid - Polyphenols - Catechine - Epicatechine). Bảo vệ tính toàn vẹn sinh học của các tế bào.
- Detox Peptide: khả năng tái tạo tế bào tối ưu đòi hỏi sự cân bằng trong hoạt động tế bào, tuy nhiên hàng ngày làn da phải tiếp xúc với nhiều yếu tố tiêu cực từ môi trường gây tổn thương DNA, ảnh hưởng quá trình tái tạo và làm mới tế bào. Detox Peptide – sự kết hợp độc đáo của peptide và chiết xuất nấm sẽ kích thích sản sinh chất chống oxy hóa tự nhiên trong da (mang tính bền vững và độ tương thích cao). Từ đó giúp trung hòa gốc tự do, chống độc tế bào, tăng khả năng tái tạo tế bào tối ưu, giảm sự thoái hóa tế bào, làm chậm quá trình lão hóa."
"Chỉ định của dòng sản phẩm Muse?","Khách hàng từ 20-25 tuổi, làn da khô, thiếu ẩm, thiếu mềm mượt, căng bóng, bắt đầu xuất hiện các nếp nhăn nhỏ, mong muốn ngăn ngừa dấu hiệu lão hoá."
"Với những làn da mỏng có dùng được dòng sản phẩm Muse không?","Dòng sản phẩm Muse có các thành phần như tế bào gốc hoa hồng, peptide,… đều là những hoạt chất có khả năng tái tạo da mạnh mẽ. 
Chính vì vậy sẽ hỗ trợ xây dựng vững chắc hàng rào bảo vệ da, tăng sinh collagen cho làn da trở nên dày và khỏe mạnh hơn."
"Tần suất chăm sóc da với bộ sản phẩm salon của Muse là như thế nào?","Tần suất chăm sóc da với bộ sản phẩm salon của Muse là 1 tuần 1 lần.
Tùy từng tình trạng da để bộ sản phẩm Muse mang lại hiệu quả cao nhất."
"Một liệu trình của dòng sản phẩm Muse là bao nhiêu buổi và sau bao lâu sẽ thấy hiệu quả?","Một liệu trình chăm sóc da thông thường là 10 buổi. Đối với dòng sản phẩm Muse, sau lần đầu tiên thực hiện trị liệu, da sẽ được tăng cường độ ẩm, độ đàn hồi và mềm mịn trên bề mặt da. Da sáng, đều màu và căng bóng hơn.
Các buổi trị liệu tiếp theo bên cạnh việc cải thiện các vấn đề về bề mặt da, kích thích tăng sinh collagen, sửa chữa DNA, các tế bào da được bảo vệ, tăng cường tái tạo giúp cải thiện và ngăn ngừa các vấn đề lão hóa da, kéo dài thanh xuân cho làn da."
"Với tình trạng da đã xuất hiện nhiều vấn đề lão hóa, nếp nhăn, trùng chảy xệ, … sử dụng bộ Muse có phù hợp không?","Với các tình trạng da khô, lão hóa hoàn toàn có thể sử dụng bộ Muse để chăm sóc hàng tuần.
Trong trường hợp da lão hóa nhiều và khách hàng mong muốn được cải thiện rõ rệt hơn trên da, có thể sử dụng những dòng sản phẩm trị liệu trẻ hóa chuyên sâu hơn (có thể tham khảo dòng sản phẩm Chateau de beaute và Forever young của Christina).
Để cá nhân hóa số buổi, làn da cần được thăm khám & theo dõi liên tục để đưa ra phác đồ phù hợp nhất."
"Thành phần nổi bật của dòng sản phẩm Chateau De Beaute là gì?","Dòng sản phẩm Chateau De Beaute là sự kết hợp của các thành phần mạnh mẽ:
- Hợp chất Resveratrol: chống oxy hoá, làm đầy nếp nhăn, làm sáng da, hỗ trợ xoá nhăn, ngăn ngừa nếp nhăn mới.
- Peptide 3D: làm đầy nếp nhăn, tăng độ săn chắc, cấp ẩm tức thì, tăng sinh collagen, chống lão hoá.
- Retinol hình cầu: trẻ hoá, làm sáng và làm đều màu da.
- OligoPeptide-24: kích thích tăng sinh collagen và hyaluronic acid tự thân. Làm đầy nếp nhăn, săn chắc, căng bóng bề mặt da, cung cấp độ ẩm, hỗ trợ làm đều màu da.
- Chiết xuất nho Bordeaux: giàu vitamin B1, B9, E và C. Giúp cung cấp độ ẩm cho làn da, khả năng chống oxy hóa cao, thúc đẩy phục hồi tái tạo bề mặt da.
- Polymer sinh học (Hi-tech Bio-Polymer): chiết xuất từ rễ hoa hướng dương hỗ trợ xóa nhăn, căng bóng da tức thì.
- AHAs (Glycolic acid, tartaric acid, mandelic acid, citric acid): loại bỏ các chất bẩn, khô ráp với axit trong nho và rượu vang, mang lại sự trắng sáng và làn da sạch, thoải mái, mềm mại. Đồng thời, giúp da sẵn sàng tiếp nhận dinh dưỡng hiệu quả."
"Chỉ định của dòng sản phẩm Chateau De Beaute?","- Độ tuổi từ 30.
- Xuất hiện lão hoá, nếp nhăn.
- Bề mặt da thiếu độ mịn màng, trắng sáng.
- Da khô thiếu ẩm."
"Tần suất chăm sóc da với bộ sản phẩm salon của dòng Chateau De Beaute như thế nào?","Đây là dòng sản phẩm chăm sóc da hàng tuần, mỗi lần trị liệu cách nhau 7 ngày.
Liệu trình trị liệu thông thường là 10 lần. Cần thăm khám & tư vấn trên nền da cụ thể."
"Thành phần Peptide trong bộ sản phẩm có điểm gì đặc biệt?","Dòng sản phẩm Forever Young cải thiện mọi dấu hiệu lão hóa da với các hoạt chất Peptide mạnh mẽ:
- M.D (Melano Dermostatyl) Peptide: Peptide ngăn ngừa nám da, làm sáng da bằng cơ chế ngăn chặn quá trình tổng hợp men Tyrosinase và làm chậm hoạt động của Melanin.
- E.T.F Peptide: Peptide chống lão hóa làm giảm và ngăn ngừa các triệu chứng lão hóa da. Kịp thời ngăn ngừa thoát ẩm qua da với cơ chế giải phóng amino acid. Tăng cường cơ chế bảo vệ da để loại bỏ mầm bệnh
- G.F Peptide: Peptide thúc đẩy tái tạo da tự thân. Hỗ trợ tổng hợp Collagen, Elastin và Lamini. Củng cố cấu trúc nền của da. Giúp làn da trở nên săn chắc, đàn hồi.
- Hexapeptide 3: Botox chay - ngăn ngừa chuyển hóa Acetylcholine, ngăn ngừa hình thành nếp nhăn như cơ chế botox. Thư giãn da mặt, tránh hình thành nếp nhăn do cảm xúc.
- Pentapeptide 3: Peptide xóa nhăn tiên tiến, kích thích sản sinh Collagen, ngăn ngừa hình thành nếp nhăn lão hóa. Kích thích nguyên bào sợi sản sinh Collagen và HA (Hyaluronic Acid). Giảm nếp nhăn sâu, nâng cấp độ săn chắc và đàn hồi của da."
"Đối tượng nào sử dụng bộ sản phẩm có hiệu quả rõ rệt?","- Từ 30 tuổi trở lên.
- Dành cho da khỏe, da hỗn hợp, da thường, da khô.
- Làn da lão hóa, lão hóa sớm.
- Da chùng nhão, chảy xệ, nếp nhăn, chân chim, bọng mắt, quầng thâm.
- Khách hàng có nhu cầu điều trị ngăn ngừa lão hóa sớm."
"Tại sao bộ Forever Young lại có tác dụng nâng cơ sau 1 lần sử dụng?","Bộ Forever Young có tác dụng nâng cơ sau 1 lần sử dụng là do:
- Sự kết hợp giữa các peptide sinh học công nghệ cao: M.D (Melano Dermostatyl) Peptide, E.T.F Peptide, G.F Peptide, Hexapeptide 3 (Botox chay), Pentapeptide 3.
- Bộ trị liệu Forever Young thực hiện các bước liên tục và kết hợp với nhau tạo hiệu ứng nâng cơ, làm mờ nếp nhăn.
- Các bước mặt nạ và massage của forever young được kết hợp đan xen với nhau giúp cấp ẩm sâu, làm da căng bóng, làm đầy nếp nhăn."
"Sản phẩm Total Renewal Serum có hiệu quả như thế nào?","Huyết thanh giàu dưỡng chất & thẩm thấu sâu, mang lại làn da căng mọng & mềm mịn và tươi sáng rõ rệt. Hoạt chất Peptide tiên tiến, độc đáo giúp tăng sinh Collagen, làm đầy nếp nhăn, giúp làn da săn chắc. Lớp biểu bì được tái tạo nhanh chóng trả lại bề mặt da tươi sáng rạng rỡ. Một giải pháp lý tưởng mang tới sự hỗ trợ hoàn hảo trong trị liệu trẻ hóa da khi kết hợp với liệu trình công nghệ cao như laser, peel, meso, …"
"Sản phẩm kem đêm dùng có tác dụng gì?","Kem dưỡng tái cân bằng và sửa chữa hệ thống bảo vệ tự nhiên của da vào ban đêm. Sự kết hợp mạnh mẽ của Peptide và Vitamin củng cố cấu trúc da, tăng sinh Collagen, giảm dấu hiệu lão hóa, cho làn da mịn màng, trẻ trung đầy sức sống. Một giải pháp lý tưởng mang tới sự hỗ trợ hoàn hảo trong trị liệu trẻ hóa da khi kết hợp với liệu trình công nghệ cao như laser, peel, meso, …"
"Kỹ thuật massage bộ Forever Young có gì khác so với các dòng sản phẩm khác?","Massage bộ Forever Young là bước quan trọng để tạo hiệu quả nâng cơ định hình gương mặt & cải thiện các dấu hiệu lão hóa:
- Kỹ thuật massage sử dụng: bài massage nâng cơ.
- Thời gian massage dài hơn các bài massage thông thường.
- Kỹ thuật viên có trình độ tay nghề cao.
Liên hệ với bác sĩ, chuyên gia của nhãn hàng Christina để được đào tạo."
"Gel chấm mụn dùng để chấm những loại mụn nào? Có bôi được toàn mặt không?","Gel chấm mụn có hiệu quả tốt nhất với những nốt mụn viêm, mụn mủ giúp giảm viêm, kháng khuẩn và làm dịu tổn thương mụn. Vì vậy, gel chấm mụn nên dùng vào vị trí các nốt mụn, chứ không cần thiết dùng toàn mặt. Và với thiết kế đầu tuýp dạng vòi nhỏ cũng sẽ thích hợp để bôi lượng ít cho các tổn thương mụn."
"Gel chấm mụn có dùng được liên tục không?","Gel chấm mụn giúp giảm viêm, kháng khuẩn và làm dịu các tổn thương mụn, hết giai đoạn viêm thì không cần thiết sử dụng nên việc dùng liên tục sẽ không đem lại hiệu quả nhiều hơn."
"Sự khác nhau giữa sữa rửa mặt mẫu cũ và mẫu mới là gì?","Mẫu mới được thay đổi thành phần nhũ hóa nên kết cấu sản phẩm có phần mỏng nhẹ hơn và khả năng tạo bọt dễ dàng hơn so với mẫu cũ. Đồng thời, mẫu mới được bổ sung BHA giúp hỗ trợ làm sạch sâu, kiềm dầu, kháng khuẩn tốt hơn cho da dầu, mụn."
"Dùng sữa rửa mặt loại mới này có bị đẩy mụn không?","Thành phần bổ sung trong mẫu mới là BHA có khả năng bạt sừng, kiềm dầu, kháng khuẩn, làm sạch sâu hơn sẽ giúp đẩy nhanh quá trình loại bỏ nhân mụn chứ không phải đẩy mụn. Vì có thêm thành phần BHA, dù nồng độ tương đối nhỏ, thì một số da mụn nhạy cảm có thể gặp tình trạng kích ứng nhẹ như đỏ da nhẹ, da khô nhẹ, có thể có sẩn mụn. Vì vậy việc tạo bọt tốt sản phẩm trên tay sau đó mới thoa lên da mặt đã làm ướt là cần thiết khi dùng sữa rửa mặt."
"Kem dưỡng kiềm dầu dùng xong da vẫn bị đổ dầu là vì sao?","ANTI ACNE Mattifying cream có chứa các thành phần giúp làm dịu da mụn và kiểm soát việc điều tiết bã nhờn. Tuy nhiên, việc bài tiết bã nhờn, ngoài do tăng hoạt động của tuyến bã nhờn thì việc da bị khô, thiếu nước cũng khiến da tiết dầu nhờn nhiều hơn. Nên nếu chỉ dùng kem dưỡng kiềm dầu mà da vẫn bị đổ dầu thì bạn nên dùng thêm các sản phẩm cấp nước cho da như một lớp lót trước khi dùng kem dưỡng kiềm dầu, ví dụ như sản phẩm Zelove của Floslek hay serum HA và nhớ bổ sung đủ nước cho cơ thể."
"Dùng kem matty mà bị vệt trắng là do đâu và khắc phục như thế nào?","Trong thành phần của kem matty có chiết xuất của hoa súng trắng tạo nên tone màu sáng cho da và cũng làm dịu da. Khi thoa kem trên nền da chưa đủ ấm có thể khiến sản phẩm không được tán đều, thêm nữa là động tác thoa, miết lại nhiều lần cũng khiến sản phẩm dễ để lại vệt trắng. Vậy để hạn chế bị vệt trắng, bạn nên dùng kèm sản phẩm cấp ẩm cho da trước khi thoa Mattifying Cream, động tác thoa nhanh và nhẹ sẽ giảm tình trạng bị vệt trắng."
"Serum có dùng được cho da dầu, mụn không?","Thành phần serum chứa chiết xuất retinol thực vậtt (Vitanol) giúp hỗ trợ quá trình điều trị mụn và thành phần viatmin C dạng SAP (Sodium ascorbyl phosphate), 1 dạng dẫn xuất bền vững hơn so với dạng LAA, ít kích ứng và phù hợp hơn với da mụn. Vì vậy, serum Revita C có thể dùng được cho da dầu, mụn."
"Serum C có khiến da bị bắt nắng không?","Với 2 thành phần chính là chiết xuất retinol thực vật giúp giải phóng tác dụng từ từ, cùng với vitamin C ở dạng SAP bền vững hơn với ánh sáng mặt trời (so với LAA) duy trì tác dụng bảo vệ da lâu dài. Và sản phẩm nên được sử dụng kèm cùng kem chống nắng để tăng cường khả năng bảo vệ da."
"Serum C dùng ban ngày hay ban tối tốt hơn?","Serum có thể dùng cả ngày và tối, sẽ đem đến tác dụng rõ rệt hơn khi dùng 2 lần/ngày."
"Kem ngày có gì khác so với kem đêm?","Về cơ bản thành phần hoạt chất của kem ngày và kem đêm là giống nhau, tuy nhiên, kem đêm có thêm một số thành phần dưỡng ẩm và nồng độ các chất dưỡng ẩm cao hơn so với kem ngày. Vì vậy kết cấu kem đêm cũng đặc hơn so với kem ngày và khả năng dưỡng ẩm lâu hơn."
"Sản phẩm peel có gây bong da không?","Sản phẩm ở dạng serum kết cấu tương đối đặc (gần giống dạng gel), sử dụng lên trên da và để qua đêm. Thành phần là tổ hợp các acid sinh học và nồng độ không cao nên sẽ không gặp tình trạng bong da. Bạn có thể thấy bong nhẹ da giống như vảy da ở các vùng da mỏng như quanh mũi và miệng, qua quá trình làm sạch da mặt, các vảy da sẽ bong theo."
"Peel có dùng được cho da mụn không?","Vì là các acid sinh học có khả năng bạt sừng nên dùng được cho da mụn, đồng thời sản phẩm có chứa phức hợp Etiolin giúp làm mờ các đốm thâm sẽ phù hợp cho các da bị thâm sau mụn."
"Dùng sản phẩm xong vẫn thấy da không đủ ẩm là vì sao?","Sản phẩm có thành phần chính là nước khoáng biển, HA và B5 giúp cấp ẩm và làm dịu da. Với thành phần HA là 1 ""nam châm"" hút nước vì vậy sẽ cần được bôi trên nên da ẩm và cơ thể cần được cung cấp đủ nước."
"Dùng zelove xong có cần bôi thêm kem dưỡng ẩm nữa không?","Zelove có kết cấu dạng gel nên khả năng khóa ẩm sẽ ở mức trung bình. Nếu dùng vào ban ngày, có thể dùng thêm một lớp kem dưỡng khóa ẩm với da khô. Với da dầu thì có thể dùng kem chống nắng ngay sau Zelove. Buổi tối thì có thể đắp  dày hơn, dùng như mặt nạ ngủ."
"Zelove có dùng được hàng ngày không?","Sản phẩm có thể sử dụng liên tục hàng ngày được. Và đặc biệt với những da đang sử dụng sản phẩm điều trị có đỏ da, bong tróc."
"Tẩy da chết Tzone là loại vật lý hay hóa học?","Tẩy da chết Tzone là tẩy da chết hóa học với tổ hợp các acid sinh học tự nhiên giúp loại bỏ da chết. Khi massage trên da sẽ tạo nên các hạt nhỏ do da chết được loại bỏ."
"Kem chống nắng Floslek có dùng được cho bà bầu không?","Kem chống nắng suncare chứa các thành phần chống nắng hóa học nên không phù hợp dùng cho bà bầu."
"Sản phẩm HA 3.5% gồm những phân tử HA nào? Nồng độ các loại HA là bao nhiêu?","- HA phân tử lớn 2%
- HA phân tử nhỏ 1,5%"
"Vì sao sau mesotherapy TXA Bright nhìn thấy nám rõ và đậm màu hơn? Trong bao lâu thì thấy mờ nám?","- TXA bright có tranexamic tác dụng ức chế sắc tố mới hình thành, peptides làm sáng, tái tạo màng đáy vì thế meso vi điểm vài lần đầu sắc tố đã hình thành từ trước có thể đẩy lên trên bề mặt theo chu trình chuyển hóa tế bào nên sẽ thấy nám đậm lên => tiếp tục meso vi điểm đến khi sắc tố cũ được loại bỏ hết.
- Phác đồ điều trị nám tối thiểu 6-8 buổi cách nhau mỗi 2 tuần. Cần thăm khám tình trạng da cụ thể để có phác đồ phù hợp.                                "
"Nồng độ của Glycolic và Retinol là bao nhiêu?","- Glycolic 1%.
- Retinol: Retinol ở dạng retinyl palmitate 30."
"Trường hợp khách có phản ứng kích ứng nhẹ với thành phần vitamin C đường bôi thoa thì có mesotherapy được Skin Renew và Skin Lift không?","Với trường hợp chắc chắn kích ứng với vitamin C không khuyến cáo mesotherapy."
"Khi nào dùng Skin Renew? Khi nào dùng Skin Lift?","- Skin Renew: da yếu cần phục hồi, sẹo lõm, trẻ hóa da (phù hợp với da dưới 35 tuổi, ít dày sừng).
- Skin Lift: da lão hóa, nhiều dấu hiệu lão hóa (phù hợp với da trên 35 tuổi)."
"Phác đồ điều trị nám trong thời gian bao lâu? Liệu trình điều trị như thế nào?","Tối thiểu 6-8 buổi mesotherapy cách nhau mỗi 2 tuần. 
Để có phác đồ phù hợp, bác sĩ chuyên gia SRS cần thăm khám & tư vấn trên nền da cụ thể."
"Chỉ định meso vi điểm Body Fit cho những trường hợp nào? Các phản ứng thường gặp sau meso vi điểm Body Fit? Thành phần chính của Body Fit là gì? Liệu trình mesotherapy bao nhiêu buổi?","- Body fit được chỉ định cho những trường hợp tích mỡ cục bộ vùng dưới cằm, cánh tay, bụng, đùi…
- Phản ứng thường gặp sau meso vi điểm: sưng nề, đỏ, tím, ngứa, đau tức vùng meso vi điểm.
- Thành phần chính: caffein, L-carnitine, PPC, hyaluronidase, cytokines…
- Liệu trình meso vi điểm: 3-5 lần cách nhau mỗi 3 tuần, kết hợp chế độ ăn uống và tập luyện thể thao hợp lý.
- Phác đồ phù hợp cần được thăm khám và tư vấn kỹ lưỡng."
"Glycolic và Retinol có mesotherapy được không? Vì sao không meso vi điểm được?","- Glycolic là acid nên không meso vi điểm trong da.
- Retinol dạng dầu nên không meso vi điểm trong da."
"Hàng meso sau khi mở nắp bảo quản như thế nào? Bảo quản tối đa trong thời gian bao lâu?","Sau khi mở nắp bảo quản trong tủ lạnh 6-8 độ, mesotherapy/ meso vi điểm được trong vòng 14 ngày; sau 14 ngày chuyển sang lăn/phi kim."
"Sau trị liệu mesotherapy da sẽ có những phản ứng như thế nào?","- Có thể hơi đỏ, nóng, một số người có thể ngứa/ mày đay thoáng qua, thông thường SRS mesotherapy tan nhanh trong vòng 1 ngày.
- Một số trường hợp có thể dị ứng, vì thế nên khai thác kĩ tiền sử dị ứng; đảm bảo nguyên tắc vô khuẩn để tránh nhiễm khuẩn, phản ứng u hạt…"
"Chăm sóc da sau mesotherapy về nhà như thế nào? Sau mesotherapy có cần kiêng gì không?","Cách chăm sóc da sau mesotherapy: 
- Trong vòng 6 giờ đầu: rửa mặt bằng nước sạch, tránh các sản phẩm mang tính lột tẩy, bôi kem chống nắng thường xuyên.
- Trong vòng 12 giờ: không sử dụng sữa rửa mặt, tẩy trang & sản phẩm có tính lột tẩy.
- Trong 48 giờ: không xông hơi, không tập thể dục cường độ cao, không áp dụng bất cứ phương pháp điều trị nào trên da mặt.
Trong 3 đến 5 ngày: sử dụng các sản phẩm dưỡng ẩm và phục hồi.
Lưu ý:
- Hạn chế treatment trong 3 ngày đầu.
- Sử dụng kem chống nắng 3 - 4 tiếng 1 lần, che chắn ánh nắng bằng các thiết bị bảo hộ.
- Hạn chế tối đa tiếp xúc với ánh nắng mặt trời trong 12 giờ đầu.
- Không ăn thức ăn có nguy cơ gây ngứa và dị ứng.
- Hạn chế đồ ăn cay nóng, chất kích thích."
"HA 3.5% meso vi điểm vào lớp nào là hiệu quả nhất?","HA meso vi điểm ở các lớp của da đều có hiệu quả tuy nhiên khi HA meso vi điểm ở trung bì nông hoặc biểu bì chỉ mang tính chất cấp ẩm tạm thời, khi meso vi điểm vào trung bì sâu ngoài việc cấp ẩm kéo dài, HA còn tạo môi trường kích thích nguyên bào sợi tăng sinh collagen, elastin để trẻ hóa làn da."
"Trong quá trình ủ tê trước mesotherapy, nếu cháy tê thì xử lý như thế nào? Cách phân biệt kích ứng do cháy tê và do sản phẩm?","Kích ứng tê thường xảy ra ở những người có da nhạy cảm, da đang treatment mạnh, da khô, thường biểu hiện màu đỏ, rát vùng 2 gò má, rãnh cười, cằm…thường xuất hiện khi ủ tê. 
Kích ứng do sản phẩm meso vi điểm xảy ra sau khi mesotherapy."
"Mesotherapy Glutathione bị đau buốt nhiều, có cách nào để giảm đau cho khách không?","- Massage tê.
- Điện di tê.
- meso vi điểm nông biểu bì.
- Kết hợp glutathione với HA, TXA…
- Về tâm lý, khi mesotherapy, khách hàng hít sâu thở đều để giảm cảm giác đau. Có thể tập trung meso vi điểm meso ở vùng nhiều nám, các phần còn lại trên mặt sẽ lăn, phi kim."
"Thành phần chính của Collagen Booster là gì? Tác dụng của các thành phần đó?","Thành phần chính của Collagen Booster là PCL (chỉ dạng lỏng) với nồng độ 30,5% giúp tăng cường khả năng làm đầy da nhanh chóng và lâu dài, nhờ khả năng kích thích tổng hợp collagen mạnh mẽ. Thêm vào đó là HA nồng độ 0.5% giúp da căng bóng và ẩm mượt hơn sau khi sử dụng."
"SPN 6 phù hợp với tình trạng da nào? Phác đồ meso vi điểm SPN 6 trong bao lâu? Mỗi lần meso vi điểm cách nhau bao lâu? Hiệu quả sau mesotherapy da thay đổi như thế nào?","- Phù hợp với những làn da có dấu hiệu lão hóa nhiều.
- Phác đồ: 3 tuần/ lần x 3 lần. Nhắc lại sau 9-12 tháng.
- Hiệu quả: trẻ hóa da (làm đầy nếp nhăn, sáng da, tăng sinh collagen…).
- Phác đồ cụ thể cần được tư vấn trên nền da thực tế."
"Tại sao lăn/ phi kim Glycolic trước Retinol? Trong điều trị trẻ hóa da kết hợp meso vi điểm HA+ Renew/ Lift + lăn/ phi Retinol được không?","- Glycolic tan trong nước, pH thấp, lăn/ phi kim trước.
- Có thể kết hợp meso vi điểm HA + Renew/ Lift sau đó tiến hành lăn/phi kim Retinol.
- Phác đồ cụ thể cần được thăm khám và tư vấn trên nền da cụ thể."
"Vitamin C nồng độ cao 22,5% meso vi điểm có xảy ra kích ứng không?","Bất kỳ sản phẩm nào cũng đều có nguy cơ kích ứng/ dị ứng, tuy nhiên tỷ lệ đó không cao. Cần thực hiện sau khi đã thăm khám kỹ lưỡng trên nền da của khách hàng."
"DMAE là hoạt chất gì? Có tác dụng gì trên da?","DMAE: dimethylaminoethanol, có cấu trúc tương tự vitamin B, Cholin, và là tiền chất của acetylcholine. DMAE có trong cấu trúc màng tế bào, nơi tập trung các chất chống oxy hóa, hỗ trợ các chất này chống lại quá trình lão hóa tế bào bởi các gốc tự do, bằng cách làm giảm các liên kết ngang của protein. Khi các chất chống oxy hóa không hoạt động và thiếu hụt DMAE ở màng tế bào, màng tế bào sẽ bị thoái hóa. Và đây được coi là nguyên nhân chính dẫn đến lão hóa tế bào."
"Thành phần chính của SPN 5 là gì? Thành phần đó có tác dụng gì?","- PDRN 1%: trẻ hóa, phục hồi da tổn thương.
- Glutathione 1%: chống oxy hóa mạnh, làm sáng da.
- HA 2%: cấp ẩm, trẻ hóa da, căng bóng.
- Peptide: trẻ hóa da tác dụng trẻ hóa, phục hồi da tổn thương, làm sáng da…"
"Thành phần của SRS Booster Activator là gì? Dùng sau meso vi điểm có tác dụng gì? Dùng trong thời gian bao lâu?","SRS Booster Activator chứa các thành phần làm dịu da: panthenol, HA, argireline, allantoin… dùng sau meso vi điểm có tác dụng làm lành tổn thương, phục hồi da…có thể dùng duy trì."
"Phác đồ meso vi điểm SPN 5 và SPN 6 khác nhau như thế nào?","- SPN5: 3 tuần/ lần x 5 lần.
- SPN6: 3 tuần/ lần x 3 lần."
"Các sản phẩm nào dùng được trong điều trị sẹo rỗ?","- Skin Renew
- SPN5
- SPN6"
"SPN 6 meso vi điểm vào lớp nào? Liều lượng meso vi điểm 1 lần bao nhiêu ml?","SPN 6 meso vi điểm vào trung bì sâu, lượng meso vi điểm phụ thuộc vào mức độ lão hóa da. Cần thăm khám cụ thể để xác định phác đồ và liều lượng hợp lý."
"Chỉ định meso vi điểm PPC cho những trường hợp nào? Các phản ứng thường gặp sau meso vi điểm PPC? Nồng độ của PPC là bao nhiêu? Liệu trình meso vi điểm bao nhiêu buổi?","-  PPC chỉ định cho các trường hợp mỡ tích tụ: mỡ bụng, mỡ dưới cánh tay, mỡ đùi, mông…u mỡ, điều chỉnh sau hút mỡ…
-  Phản ứng thường gặp sau meso vi điểm: sưng nề, đỏ, đau… vùng meso vi điểm."
"Sản phẩm có phải là thuốc, có gây phản ứng phụ thuộc hay “lờn” (giảm dung nạp) như sử dụng thuốc hay không?","Sản phẩm không phải là thuốc, có thể gây phản ứng phụ trên một số cơ địa, tuy nhiên tỷ lệ rất thấp và hầu hết an toàn cho các đối tượng sử dụng, không gây phụ thuộc hay “lờn” (giảm dung nạp) thuốc."
